title,link,cited,relatedLink,position,publishedData
Development of an open hardware bioreactor for optimized cardiac cell culture integrating programmable mechanical and electrical stimulations,https://aip.scitation.org/doi/abs/10.1063/1.5144922,Cited by 1,"https://scholar.google.com/scholar?q=related:oO2RU0LVbugJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",64,"J Béland, JE Duverger, E Petitjean, A Maguy… - AIP …, 2020 - aip.scitation.org"
Open hardware modular educational robotic platform—Yrobot,https://ieeexplore.ieee.org/abstract/document/7002246/,Cited by 7,"https://scholar.google.com/scholar?q=related:8QfA_XIDYVYJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",65,"M Kochlán, M Hodon - … Conference on Robotics in Alpe-Adria …, 2014 - ieeexplore.ieee.org"
Eddy: an open hardware robot for education,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.507.5134&rep=rep1&type=pdf,Cited by 9,"https://scholar.google.com/scholar?q=related:omRYXiiPKhQJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",66,"L Bertelli, F Bovo, L Grespan, S Galvan… - … Minirobots for Research …, 2007 - Citeseer"
Thermal Pyranometer Using the Open Hardware Arduino Platform.,http://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=13019724&AN=134558345&h=2%2FRvc7H8vCc5sjHvN1UKwySnC8BMJIqhr1uKvZPc9ozRjkbo73IC0ud%2FVd6iuWJYP8ZClylEE1ZF1hSLCeWE2Q%3D%3D&crl=c,Cited by 6,"https://scholar.google.com/scholar?q=related:V-BO-rhoYXAJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",67,"E Avallone, PC Mioralli, VL Scalon… - International …, 2019 - search.ebscohost.com"
How open hardware drives digital fabrication tools such as the 3D printer,https://policyreview.info/articles/analysis/how-open-hardware-drives-digital-fabrication-tools-such-3d-printer,Cited by 11,"https://scholar.google.com/scholar?q=related:EUhBn8pbrt0J:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",68,"J Söderberg - Internet Policy Review, 2013 - policyreview.info"
Journal of Open Hardware: from 2017 to the present and beyond,https://openhardware.metajnl.com/articles/10.5334/joh.30/print/,,"https://scholar.google.com/scholar?q=related:8ahtWIAoS0MJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",69,"S Dosemagen, J Molloy - Journal of Open Hardware, 2020 - openhardware.metajnl.com"
Low-cost gsm telephony in the amazon region based on open-source/open-hardware projects,https://ieeexplore.ieee.org/abstract/document/5304848/,Cited by 10,"https://scholar.google.com/scholar?q=related:c__8JlCFfvcJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",70,"M Cabral, I Almeida, C Melo… - 2009 IEEE Latin …, 2009 - ieeexplore.ieee.org"
From open source software to open source hardware,https://link.springer.com/chapter/10.1007/978-3-642-33442-9_23,Cited by 10,"https://scholar.google.com/scholar?q=related:yjqnjp5btRkJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",71,"R Viseur - IFIP International Conference on Open Source Systems, 2012 - Springer"
"Fab@ home model 3: a more robust, cost effective and accessible open hardware fabrication platform",http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.375.7323,Cited by 12,"https://scholar.google.com/scholar?q=related:3gjEGvZG9UAJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",72,"J Lipton, R Maccurdy, M Boban, N Chartrain, LW Iii… - 2012 - Citeseer"
Open-Hardware Meets Open Software for Environmental Monitoring,https://scholarsarchive.byu.edu/iemssconference/2014/Stream-A/20/,Cited by 5,"https://scholar.google.com/scholar?q=related:y8WJ_XN3zJIJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",73,"JM Sadler, DP Ames, R Khattar - 2014 - scholarsarchive.byu.edu"
